no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,5348330.0,무안군 청계면,2017-01-01,4.0,12.1,-0.6,89.2,40.6,0.8,3.3,0.0,356.0,9.6,,3.2,5.0,,2017
2,5348330.0,무안군 청계면,2017-01-02,7.3,14.1,1.7,89.4,8.5,0.9,3.9,0.0,320.0,9.1,,6.4,6.2,,2017
3,5348330.0,무안군 청계면,2017-01-03,3.9,10.1,-1.0,88.0,326.7,0.6,4.4,0.0,497.0,11.3,,2.9,6.3,,2017
4,5348330.0,무안군 청계면,2017-01-04,3.2,11.1,-1.4,94.4,25.1,0.7,3.9,0.0,234.0,7.6,,2.4,5.4,,2017
5,5348330.0,무안군 청계면,2017-01-05,6.7,10.9,0.6,74.7,62.1,0.8,4.3,0.0,0.0,4.0,,4.9,5.6,,2017
6,5348330.0,,2017-01-06,7.9,13.6,1.5,78.1,58.8,1.0,4.9,0.5,448.0,10.9,,6.5,7.2,,2017
7,5348330.0,무안군 청계면,2017-01-07,6.2,10.5,1.2,84.6,37.4,1.0,4.8,0.0,44.0,5.0,,4.9,6.4,,2017
8,5348330.0,무안군 청계면,2017-01-08,8.4,12.7,5.7,84.8,339.9,1.2,6.0,1.5,233.0,9.4,,7.7,7.7,,2017
9,5348330.0,무안군 청계면,2017-01-09,5.7,7.9,-0.6,75.6,313.0,2.1,11.0,0.0,229.0,8.2,,4.6,7.4,,2017
10,5348330.0,무안군 청계면,2017-01-10,3.8,5.9,-0.7,69.0,327.3,2.0,7.7,0.0,196.0,8.3,,2.8,6.1,,2017
11,5348330.0,무안군 청계면,2017-01-11,1.3,4.3,-2.0,66.3,8.3,1.7,7.7,0.0,503.0,12.7,,0.9,5.7,,2017
12,5348330.0,무안군 청계면,2017-01-12,2.4,8.3,-2.7,85.0,298.4,0.9,5.6,0.0,44.0,5.0,,1.3,4.9,,2017
13,5348330.0,무안군 청계면,2017-01-13,-0.9,7.8,-4.2,90.0,357.2,0.7,10.2,0.0,188.0,4.9,,-1.3,3.8,,2017
17,5348330.0,무안군 청계면,2017-01-17,0.2,6.0,-3.7,74.6,22.2,0.4,3.2,0.0,92.0,1.1,,-1.7,3.3,,2017
18,5348330.0,무안군 청계면,2017-01-18,1.7,7.8,-4.5,73.8,10.5,1.3,7.6,0.0,273.0,9.5,,0.4,2.9,,2017
19,5348330.0,무안군 청계면,2017-01-19,1.2,5.7,-2.1,80.0,320.4,0.8,7.3,0.0,471.0,11.0,,0.4,3.2,,2017
20,5348330.0,무안군 청계면,2017-01-20,0.8,3.8,-0.9,83.7,306.4,2.7,12.0,0.5,66.0,5.5,,-0.4,2.9,,2017
21,5348330.0,무안군 청계면,2017-01-21,1.3,4.4,-1.1,81.1,320.6,0.9,6.7,0.5,109.0,6.8,,0.7,3.3,,2017
22,5348330.0,무안군 청계면,2017-01-22,0.3,2.7,-1.7,76.4,311.9,2.6,12.4,0.0,228.0,8.3,,-0.4,3.2,,2017
23,5348330.0,무안군 청계면,2017-01-23,-2.1,-0.4,-6.0,85.5,345.2,1.4,8.5,1.0,115.0,7.9,,-1.5,2.5,,2017
24,5348330.0,무안군 청계면,2017-01-24,-0.9,2.6,-4.5,82.8,6.2,1.1,6.3,0.0,384.0,11.7,,-0.8,3.1,,2017
25,5348330.0,무안군 청계면,2017-01-25,-1.5,3.6,-5.0,82.6,15.4,1.2,6.1,0.0,424.0,12.7,,-0.9,2.9,,2017
26,5348330.0,무안군 청계면,2017-01-26,0.9,8.3,-5.3,76.4,37.4,0.9,6.0,0.0,518.0,13.3,,0.4,2.8,,2017
27,5348330.0,무안군 청계면,2017-01-27,3.0,8.4,-3.4,72.1,315.6,2.1,10.8,0.0,451.0,14.0,,1.8,3.8,,2017
28,5348330.0,무안군 청계면,2017-01-28,2.0,11.7,-7.1,63.2,21.0,0.7,3.7,0.0,515.0,14.0,,1.4,3.3,,2017
29,5348330.0,무안군 청계면,2017-01-29,7.0,8.8,3.3,83.6,26.5,1.5,6.2,1.5,0.0,2.2,,5.1,4.6,,2017
30,5348330.0,무안군 청계면,2017-01-30,1.2,4.4,-2.6,71.0,318.0,3.2,12.1,0.5,157.0,8.9,,0.6,4.3,,2017
31,5348330.0,무안군 청계면,2017-01-31,-1.5,3.9,-6.4,72.1,348.1,1.4,7.7,0.0,516.0,15.0,,-0.9,3.1,,2017
32,5348330.0,무안군 청계면,2017-02-01,0.1,5.0,-4.8,69.6,330.6,1.6,10.1,0.0,356.0,11.7,,-0.3,2.9,,2017
33,5348330.0,무안군 청계면,2017-02-02,-1.1,5.4,-6.0,75.0,342.6,1.3,7.1,0.0,568.0,16.3,,-0.8,2.7,,2017
34,5348330.0,무안군 청계면,2017-02-03,1.4,9.1,-5.7,82.5,16.9,0.8,4.8,0.0,443.0,13.0,,1.2,3.0,,2017
35,5348330.0,무안군 청계면,2017-02-04,6.6,12.9,0.6,71.2,56.0,0.8,4.0,0.5,107.0,6.6,,4.7,4.3,,2017
36,5348330.0,무안군 청계면,2017-02-05,6.0,7.1,4.4,92.2,312.7,1.3,9.2,0.5,4.0,2.5,,4.8,5.2,,2017
37,5348330.0,무안군 청계면,2017-02-06,2.7,5.0,0.7,68.5,320.0,2.5,10.6,0.0,425.0,13.4,,1.8,4.5,,2017
38,5348330.0,무안군 청계면,2017-02-07,1.6,7.1,-1.7,69.3,340.8,1.0,5.7,0.0,455.0,14.9,,1.5,4.4,,2017
39,5348330.0,무안군 청계면,2017-02-08,2.2,4.4,-0.2,77.8,323.2,1.5,6.9,0.0,73.0,6.9,,1.8,4.3,,2017
40,5348330.0,무안군 청계면,2017-02-09,0.3,2.3,-2.3,75.6,322.4,3.2,12.3,0.0,180.0,8.8,,-0.4,3.7,,2017
41,5348330.0,무안군 청계면,2017-02-10,-1.8,0.0,-3.0,88.4,325.8,2.2,11.3,0.0,85.0,7.5,,-1.6,3.1,,2017
42,5348330.0,무안군 청계면,2017-02-11,-0.1,1.9,-2.3,84.2,319.8,2.2,9.1,1.0,95.0,8.1,,-0.5,3.1,,2017
43,5348330.0,무안군 청계면,2017-02-12,1.6,5.2,-4.0,75.1,326.2,1.1,6.2,0.5,453.0,13.7,,0.7,3.6,,2017
