no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,635821A001,창녕군 대지면,2016-01-01,-1.0,8.9,-7.7,77.2,,0.0,0.8,0.0,499,8.3,32,-0.8,3.4,,2016
2,635821A001,창녕군 대지면,2016-01-02,0.9,10.3,-5.2,82.0,195.0,0.2,4.3,0.0,280,5.8,56,1.0,3.4,,2016
3,635821A001,창녕군 대지면,2016-01-03,2.0,14.0,-3.8,87.9,284.6,0.0,2.5,0.0,357,7.1,202,2.0,3.9,,2016
4,635821A001,창녕군 대지면,2016-01-04,2.8,12.6,-3.1,73.7,359.0,0.6,5.1,0.0,446,7.8,167,2.5,4.3,,2016
5,635821A001,창녕군 대지면,2016-01-05,0.1,5.8,-4.0,60.2,328.2,0.5,4.9,0.0,87,3.5,0,-0.3,4.0,,2016
6,635821A001,창녕군 대지면,2016-01-06,1.2,6.8,-4.8,54.7,2.3,1.7,8.2,0.0,498,7.7,0,1.0,3.5,,2016
7,635821A001,창녕군 대지면,2016-01-07,0.1,6.7,-5.4,64.9,341.0,0.8,5.6,0.0,478,8.3,21,-0.1,3.5,,2016
8,635821A001,창녕군 대지면,2016-01-08,-0.5,6.0,-5.6,60.8,356.9,1.2,8.0,0.0,525,9.2,0,-0.6,3.3,,2016
9,635821A001,창녕군 대지면,2016-01-09,-1.1,8.1,-7.9,68.1,272.8,0.5,6.0,0.0,541,9.2,0,-0.8,3.0,,2016
10,635821A001,창녕군 대지면,2016-01-10,-0.6,8.2,-7.8,70.4,33.7,0.4,5.5,0.0,496,8.9,0,-0.4,2.9,,2016
11,635821A001,창녕군 대지면,2016-01-11,-0.3,6.2,-5.3,55.5,355.3,1.1,7.1,0.0,442,8.6,0,-0.3,2.8,,2016
12,635821A001,창녕군 대지면,2016-01-12,-2.1,6.0,-8.1,45.5,357.2,1.2,8.3,0.0,542,10.1,0,-2.2,2.5,,2016
13,635821A001,창녕군 대지면,2016-01-13,-2.2,5.4,-9.4,64.7,273.1,1.0,7.9,0.0,484,8.9,0,-1.8,2.1,,2016
14,635821A001,창녕군 대지면,2016-01-14,-0.8,4.4,-5.0,70.6,340.7,0.8,5.2,0.0,493,8.7,31,-0.7,2.2,,2016
15,635821A001,창녕군 대지면,2016-01-15,-1.7,7.5,-8.1,74.6,,0.0,3.3,0.0,331,8.0,0,-1.4,2.3,,2016
16,635821A001,창녕군 대지면,2016-01-16,-0.4,9.4,-6.8,75.6,103.8,0.1,2.8,0.0,271,7.2,58,-0.5,2.4,,2016
17,635821A001,창녕군 대지면,2016-01-17,1.0,4.4,-3.4,84.0,352.1,1.0,5.5,0.0,0,2.3,523,1.0,2.6,,2016
18,635821A001,창녕군 대지면,2016-01-18,0.7,4.6,-5.1,65.7,282.1,2.6,11.5,0.0,313,9.0,668,0.7,3.3,,2016
19,635821A001,창녕군 대지면,2016-01-19,-4.4,-0.7,-7.8,41.5,310.7,2.9,11.9,0.0,512,11.1,0,-4.4,2.5,,2016
20,635821A001,창녕군 대지면,2016-01-20,-5.1,-0.6,-8.9,50.0,349.1,1.9,6.9,0.0,306,8.1,0,-5.1,1.8,,2016
21,635821A001,창녕군 대지면,2016-01-21,-3.1,1.2,-7.5,41.4,346.6,1.9,6.4,0.0,97,5.6,0,-3.0,1.6,,2016
22,635821A001,창녕군 대지면,2016-01-22,-1.8,2.3,-7.0,32.4,346.6,3.2,10.2,0.0,413,9.9,0,-1.9,1.5,,2016
23,635821A001,창녕군 대지면,2016-01-23,-4.5,-1.4,-11.5,38.2,5.2,3.6,10.4,0.0,353,9.2,0,-4.2,1.5,,2016
24,635821A001,창녕군 대지면,2016-01-24,-9.6,-5.7,-12.2,52.6,342.1,2.1,9.6,0.0,519,10.5,0,-9.0,1.3,,2016
25,635821A001,창녕군 대지면,2016-01-25,-6.7,2.1,-14.2,59.7,1.6,1.0,7.5,0.0,554,11.8,0,-5.8,0.9,,2016
26,635821A001,창녕군 대지면,2016-01-26,-4.1,5.1,-11.7,68.2,264.9,0.8,8.3,0.0,473,10.3,0,-3.5,0.8,,2016
27,635821A001,창녕군 대지면,2016-01-27,-1.2,8.8,-8.4,66.4,165.9,0.2,4.3,0.0,507,9.9,0,-1.1,0.9,,2016
28,635821A001,창녕군 대지면,2016-01-28,-0.5,3.2,-6.4,77.8,337.1,1.5,6.5,10.0,0,1.8,561,-0.5,0.9,,2016
29,635821A001,창녕군 대지면,2016-01-29,1.7,3.0,0.6,96.6,330.5,3.1,7.0,14.0,0,1.9,1380,1.4,1.0,,2016
30,635821A001,창녕군 대지면,2016-01-30,2.9,6.6,-2.2,89.6,335.2,2.1,6.8,0.0,0,4.1,952,2.4,1.3,,2016
31,635821A001,창녕군 대지면,2016-01-31,1.2,5.0,-1.9,72.2,3.1,1.7,6.4,0.0,257,8.4,163,1.4,2.0,,2016
32,635821A001,창녕군 대지면,2016-02-01,-0.2,4.0,-3.0,45.3,346.5,2.6,7.3,0.0,550,13.3,0,-0.3,2.2,,2016
33,635821A001,창녕군 대지면,2016-02-02,-2.0,4.2,-6.8,47.5,336.3,1.9,7.6,0.0,560,14.4,0,-2.1,1.8,,2016
34,635821A001,창녕군 대지면,2016-02-03,-2.1,5.9,-8.6,64.0,353.4,0.7,7.1,0.0,560,13.8,0,-1.7,1.5,,2016
35,635821A001,창녕군 대지면,2016-02-04,-1.3,6.9,-8.0,69.3,55.7,0.1,3.4,0.0,355,9.2,14,-1.0,1.4,,2016
36,635821A001,창녕군 대지면,2016-02-05,-0.2,7.4,-6.6,57.4,352.1,0.8,6.0,0.0,554,13.8,0,-0.3,1.4,,2016
37,635821A001,창녕군 대지면,2016-02-06,-1.3,5.3,-7.7,57.6,6.4,1.3,7.4,0.0,559,13.8,0,-0.9,1.4,,2016
38,635821A001,창녕군 대지면,2016-02-07,-1.3,6.8,-7.1,58.9,338.6,0.4,3.9,0.0,559,14.4,0,-1.0,1.5,,2016
39,635821A001,창녕군 대지면,2016-02-08,-0.6,9.0,-8.4,61.4,230.2,0.8,8.4,0.0,547,13.3,0,-0.3,1.5,,2016
40,635821A001,창녕군 대지면,2016-02-09,2.8,9.1,-3.9,47.7,336.6,1.8,10.1,0.0,564,15.0,0,1.9,1.7,,2016
41,635821A001,창녕군 대지면,2016-02-10,1.3,12.6,-7.2,57.2,187.5,0.4,4.0,0.0,565,14.9,0,1.2,1.9,,2016
42,635821A001,창녕군 대지면,2016-02-11,4.2,14.5,-4.0,67.4,242.2,0.2,4.5,0.0,422,9.9,0,3.7,2.5,,2016
43,635821A001,창녕군 대지면,2016-02-12,8.6,11.7,5.4,96.4,267.7,0.1,3.0,12.0,0,1.0,1262,7.4,4.0,,2016
44,635821A001,창녕군 대지면,2016-02-13,12.8,16.2,10.1,98.6,189.9,0.3,6.5,6.0,1,3.3,1429,11.7,6.1,,2016
45,635821A001,창녕군 대지면,2016-02-14,5.3,15.8,-1.5,62.9,269.9,3.5,9.4,0.0,227,8.6,327,8.2,7.0,,2016
46,635821A001,창녕군 대지면,2016-02-15,-1.7,2.0,-5.1,48.8,338.7,2.8,9.4,0.0,583,16.6,0,,4.8,,2016
47,635821A001,창녕군 대지면,2016-02-16,0.0,5.4,-6.3,66.2,254.0,1.6,9.3,0.0,366,11.1,0,-14.4,3.7,,2016
48,635821A001,창녕군 대지면,2016-02-17,0.8,8.4,-5.6,58.3,32.2,1.0,5.9,0.0,586,16.4,0,-12.9,3.7,,2016
49,635821A001,창녕군 대지면,2016-02-18,2.3,10.6,-6.2,64.5,187.6,1.4,6.9,0.0,532,13.4,0,,3.6,,2016
50,635821A001,창녕군 대지면,2016-02-19,4.4,13.2,-3.4,65.2,358.2,0.4,4.6,0.0,417,11.9,44,-12.6,4.2,,2016
51,635821A001,창녕군 대지면,2016-02-20,5.8,11.2,2.2,48.0,349.1,2.3,8.0,0.0,423,11.6,0,-30.4,5.1,,2016
52,635821A001,창녕군 대지면,2016-02-21,1.8,8.1,-3.1,43.2,1.0,1.1,7.4,0.0,584,17.0,0,-23.8,4.6,,2016
53,635821A001,창녕군 대지면,2016-02-22,2.6,7.2,-3.0,54.5,265.6,0.3,2.7,0.0,92,6.9,0,,4.4,,2016
54,635821A001,창녕군 대지면,2016-02-23,4.7,10.6,-1.5,50.3,359.8,2.1,16.1,0.0,441,12.7,0,33.7,5.0,,2016
55,635821A001,창녕군 대지면,2016-02-24,1.3,6.3,-2.5,40.9,342.4,2.2,6.8,0.0,477,14.2,0,,4.7,,2016
56,635821A001,창녕군 대지면,2016-02-25,0.1,7.4,-7.4,48.7,7.7,1.0,6.7,0.0,602,16.9,0,,4.1,,2016
57,635821A001,창녕군 대지면,2016-02-26,1.5,8.7,-5.7,72.0,255.0,1.0,6.4,0.0,280,10.1,81,-25.6,3.9,,2016
58,635821A001,창녕군 대지면,2016-02-27,6.2,14.2,0.1,66.7,273.5,0.8,7.2,0.0,515,14.4,0,8.8,5.0,,2016
59,635821A001,창녕군 대지면,2016-02-28,6.0,15.3,-1.7,74.0,228.9,2.0,14.2,5.0,231,9.3,341,-23.5,5.5,,2016
60,635821A001,창녕군 대지면,2016-03-01,-1.6,6.8,-8.6,56.0,332.3,0.8,7.1,0.0,615,18.3,0,-8.4,3.9,,2016
61,635821A001,창녕군 대지면,2016-03-02,3.0,13.1,-6.7,56.2,181.3,1.1,7.1,0.0,616,18.0,0,-12.6,4.2,,2016
62,635821A001,창녕군 대지면,2016-03-03,6.7,17.9,-4.0,66.4,187.6,0.9,6.3,0.0,607,17.7,36,0.0,5.2,,2016
63,635821A001,창녕군 대지면,2016-03-04,7.5,9.3,4.3,95.5,290.5,0.2,3.0,14.5,0,2.1,1157,-9.9,6.4,,2016
64,635821A001,창녕군 대지면,2016-03-05,12.5,16.1,8.7,92.9,179.1,1.3,8.7,55.0,1,4.9,1369,-17.6,7.9,,2016
65,635821A001,창녕군 대지면,2016-03-06,14.7,19.5,6.4,84.3,194.5,1.2,5.4,13.5,279,9.7,873,7.9,11.0,,2016
66,635821A001,창녕군 대지면,2016-03-07,11.4,17.9,5.2,70.9,197.4,1.4,5.1,0.0,462,15.2,0,-10.9,10.6,,2016
67,635821A001,창녕군 대지면,2016-03-08,8.6,10.7,3.8,57.2,5.0,1.9,9.7,0.5,5,4.2,268,,10.0,,2016
68,635821A001,창녕군 대지면,2016-03-09,5.9,11.2,3.0,55.7,329.7,2.5,8.0,0.5,374,14.8,667,-21.5,8.7,,2016
69,635821A001,창녕군 대지면,2016-03-10,3.3,7.1,0.3,35.6,357.0,3.5,16.5,0.0,570,17.8,0,29.1,7.5,,2016
70,635821A001,창녕군 대지면,2016-03-11,1.3,7.3,-3.9,47.1,6.2,2.0,12.4,0.0,639,20.6,0,,6.4,,2016
71,635821A001,창녕군 대지면,2016-03-12,2.3,10.2,-5.6,54.1,327.9,0.9,7.6,0.0,621,19.0,0,,6.0,,2016
72,635821A001,창녕군 대지면,2016-03-13,5.2,9.8,0.9,59.9,351.9,0.6,5.0,0.0,27,7.4,0,-34.4,6.6,,2016
73,635821A001,창녕군 대지면,2016-03-14,5.0,12.0,-1.4,62.9,344.0,1.8,7.7,0.0,614,17.9,0,,6.7,,2016
74,635821A001,창녕군 대지면,2016-03-15,6.0,15.5,-3.6,56.2,206.4,0.9,5.5,0.0,592,20.1,46,,7.0,,2016
75,635821A001,창녕군 대지면,2016-03-16,9.2,18.6,3.1,55.0,182.5,0.8,6.0,0.0,531,17.4,0,-17.0,8.3,,2016
76,635821A001,창녕군 대지면,2016-03-17,9.8,20.0,-1.4,56.0,191.3,1.0,7.4,0.0,605,17.9,1,,8.5,,2016
77,635821A001,창녕군 대지면,2016-03-18,10.2,11.9,8.0,93.3,338.5,0.8,4.0,16.0,0,2.4,1273,,9.5,,2016
78,635821A001,창녕군 대지면,2016-03-19,12.0,18.8,5.0,76.3,67.0,1.1,6.1,0.0,479,16.9,721,,10.3,,2016
79,635821A001,창녕군 대지면,2016-03-20,10.5,14.3,7.8,63.6,37.4,1.3,5.1,0.0,73,8.7,0,39.7,11.0,,2016
80,635821A001,창녕군 대지면,2016-03-21,10.6,17.5,5.2,62.1,27.3,1.4,6.9,0.0,589,20.2,0,,11.2,,2016
81,635821A001,창녕군 대지면,2016-03-22,9.8,19.4,0.7,68.1,123.3,0.6,4.0,0.0,540,18.1,5,-3.4,11.2,,2016
82,635821A001,창녕군 대지면,2016-03-23,10.9,16.8,5.3,60.6,55.0,1.7,6.4,0.0,525,18.0,14,-4.8,11.6,,2016
83,635821A001,창녕군 대지면,2016-03-24,7.9,12.1,4.4,61.5,59.4,2.7,7.9,0.5,400,14.9,527,5.3,11.3,,2016
84,635821A001,창녕군 대지면,2016-03-25,7.2,12.2,3.7,71.8,185.7,1.2,6.6,0.0,289,12.5,121,-5.7,10.7,,2016
85,635821A001,창녕군 대지면,2016-03-26,7.3,13.4,2.5,76.5,253.7,1.3,7.1,0.0,359,16.7,122,2.5,10.8,,2016
86,635821A001,창녕군 대지면,2016-03-27,7.1,15.5,0.1,70.0,347.2,0.9,9.0,0.0,520,19.3,699,,11.0,,2016
87,635821A001,창녕군 대지면,2016-03-28,9.0,18.7,-1.2,52.7,171.2,0.9,6.1,0.0,672,21.7,14,-42.7,10.9,,2016
88,635821A001,창녕군 대지면,2016-03-29,10.5,17.8,2.3,64.3,191.6,2.1,9.0,0.0,388,14.0,0,,11.0,,2016
89,635821A001,창녕군 대지면,2016-03-30,14.1,22.6,5.5,59.9,218.6,0.8,7.7,0.0,659,21.3,0,-27.7,12.0,,2016
90,635821A001,창녕군 대지면,2016-03-31,12.3,21.8,3.6,60.3,332.9,0.5,4.1,0.0,390,15.4,0,-0.4,12.4,,2016
91,635821A001,창녕군 대지면,2016-04-01,14.0,25.0,2.8,57.1,348.6,0.8,6.5,0.0,656,21.8,0,,12.7,,2016
92,635821A001,창녕군 대지면,2016-04-02,14.3,22.5,5.0,65.6,187.9,1.4,6.4,0.0,497,16.7,0,,13.1,,2016
93,635821A001,창녕군 대지면,2016-04-03,11.9,15.2,9.8,90.2,16.3,1.5,6.2,21.5,0,2.4,841,,13.1,,2016
94,635821A001,창녕군 대지면,2016-04-04,10.9,12.4,9.3,89.8,31.5,1.3,5.5,2.0,0,3.5,1140,,12.5,,2016
95,635821A001,창녕군 대지면,2016-04-05,12.6,21.4,6.4,73.6,340.0,0.5,7.0,0.0,518,21.3,0,,13.0,,2016
96,635821A001,창녕군 대지면,2016-04-06,12.4,22.3,5.8,69.4,201.1,0.9,7.5,21.0,281,13.4,239,-29.0,13.4,,2016
97,635821A001,창녕군 대지면,2016-04-07,12.0,17.5,9.0,91.1,346.5,1.7,6.0,20.0,106,9.6,1011,26.6,13.1,,2016
98,635821A001,창녕군 대지면,2016-04-08,14.7,24.0,8.0,71.1,178.2,0.8,5.3,0.0,576,21.8,227,8.6,14.0,,2016
99,635821A001,창녕군 대지면,2016-04-09,15.8,24.8,6.7,62.5,179.8,0.9,6.2,0.0,570,18.0,0,18.1,14.8,,2016
100,635821A001,창녕군 대지면,2016-04-10,15.2,24.2,7.8,69.7,189.2,1.2,7.2,0.0,608,19.6,0,,15.2,,2016
101,635821A001,창녕군 대지면,2016-04-11,10.7,14.0,6.1,69.3,70.4,2.6,7.2,0.0,57,9.5,0,20.6,14.6,,2016
102,635821A001,창녕군 대지면,2016-04-12,11.2,19.1,3.1,67.7,205.2,1.2,6.1,0.5,462,18.3,54,35.3,13.7,,2016
103,635821A001,창녕군 대지면,2016-04-13,14.0,16.6,11.5,97.1,212.7,0.1,2.3,15.5,0,3.1,1429,,14.3,,2016
104,635821A001,창녕군 대지면,2016-04-14,17.9,25.6,11.8,63.9,359.4,1.5,11.0,0.0,646,22.6,625,-12.7,15.6,,2016
105,635821A001,창녕군 대지면,2016-04-15,14.1,21.4,6.6,62.5,130.6,1.7,9.0,0.0,707,24.0,0,,15.8,,2016
106,635821A001,창녕군 대지면,2016-04-16,12.9,20.0,5.2,81.5,175.1,1.5,11.0,32.0,67,9.1,367,45.0,15.1,,2016
107,635821A001,창녕군 대지면,2016-04-17,15.5,18.8,11.1,56.4,249.7,4.1,12.3,4.5,595,22.4,396,-21.8,15.5,,2016
108,635821A001,창녕군 대지면,2016-04-18,14.3,20.9,8.6,49.4,253.5,1.3,8.5,0.0,530,20.7,0,9.9,15.4,,2016
109,635821A001,창녕군 대지면,2016-04-19,13.9,20.9,5.9,53.0,276.0,1.5,7.5,0.0,714,25.7,0,,15.8,,2016
110,635821A001,창녕군 대지면,2016-04-20,13.9,21.2,5.8,60.0,190.5,1.1,6.3,0.0,397,18.4,0,-9.4,15.7,,2016
111,635821A001,창녕군 대지면,2016-04-21,12.8,16.3,10.0,90.9,351.5,0.7,5.6,18.5,2,4.2,1243,,15.3,,2016
112,635821A001,창녕군 대지면,2016-04-22,16.6,26.0,10.1,78.8,181.1,1.2,6.2,0.0,415,19.3,756,,15.8,,2016
113,635821A001,창녕군 대지면,2016-04-23,15.7,20.2,12.2,60.1,345.9,0.6,6.8,0.0,49,9.6,0,49.5,16.4,,2016
114,635821A001,창녕군 대지면,2016-04-24,15.1,23.7,7.0,56.7,338.2,1.0,6.1,0.0,613,22.5,0,46.4,16.2,,2016
115,635821A001,창녕군 대지면,2016-04-25,16.0,26.3,7.4,62.9,224.1,0.6,5.8,0.0,696,24.2,0,,16.8,,2016
116,635821A001,창녕군 대지면,2016-04-26,16.8,26.7,6.7,61.6,74.9,1.5,8.1,0.0,572,21.1,105,47.6,17.3,,2016
117,635821A001,창녕군 대지면,2016-04-27,11.6,14.2,9.9,87.7,21.7,3.1,8.8,25.5,0,2.2,1379,-22.4,16.2,,2016
118,635821A001,창녕군 대지면,2016-04-28,13.9,20.3,9.9,75.3,2.8,2.1,8.9,3.5,165,13.2,810,-0.7,15.2,,2016
119,635821A001,창녕군 대지면,2016-04-29,15.1,21.4,9.5,58.6,185.2,1.1,6.8,0.0,498,21.3,0,-15.4,16.4,,2016
120,635821A001,창녕군 대지면,2016-04-30,16.5,25.3,7.6,66.7,183.7,2.1,7.7,0.0,640,24.0,0,,16.9,,2016
121,635821A001,창녕군 대지면,2016-05-01,17.5,26.3,8.1,62.1,182.0,1.7,8.0,0.0,719,25.3,0,,17.4,,2016
122,635821A001,창녕군 대지면,2016-05-02,18.0,25.4,8.8,73.2,188.7,1.8,8.9,0.0,404,18.7,92,2.4,17.7,,2016
123,635821A001,창녕군 대지면,2016-05-03,17.6,21.9,14.3,74.0,216.5,3.7,12.7,27.0,169,10.2,700,30.2,18.1,,2016
124,635821A001,창녕군 대지면,2016-05-04,18.1,24.3,12.8,39.7,245.5,3.1,15.4,0.0,756,27.3,0,-34.1,17.5,,2016
125,635821A001,창녕군 대지면,2016-05-05,16.9,26.2,6.5,52.6,198.9,1.0,6.5,0.0,556,23.3,0,,17.6,,2016
126,635821A001,창녕군 대지면,2016-05-06,18.9,21.5,15.0,79.3,197.0,2.1,6.2,0.0,42,9.7,0,,18.2,,2016
127,635821A001,창녕군 대지면,2016-05-07,18.9,25.0,12.5,55.2,8.0,1.7,8.2,0.0,560,22.3,0,,18.7,,2016
128,635821A001,창녕군 대지면,2016-05-08,17.1,24.4,8.1,58.6,202.2,0.9,6.5,0.0,475,19.9,0,,18.5,,2016
129,635821A001,창녕군 대지면,2016-05-09,18.8,23.3,14.7,60.0,217.4,0.7,3.9,0.0,78,13.5,0,49.3,18.9,,2016
