no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,780950A001,경주시 용강상리,2023-01-01,3.6,8.1,0.5,42.7,,,,0.0,467,8.2,0.0,3.3,1.1,12.7,2023
2,780950A001,경주시 용강상리,2023-01-02,1.0,4.9,-2.0,22.7,,,,0.0,466,10.3,0.0,2.2,1.2,12.8,2023
3,780950A001,경주시 용강상리,2023-01-03,-0.1,5.0,-3.7,30.4,,,,0.0,479,10.2,0.0,0.8,1.1,12.8,2023
4,780950A001,경주시 용강상리,2023-01-04,1.1,6.3,-2.6,37.6,,,,0.0,478,9.6,0.0,1.7,1.0,12.7,2023
5,780950A001,경주시 용강상리,2023-01-05,1.9,7.2,-3.4,48.8,,,,0.0,371,8.3,0.0,1.8,1.0,12.5,2023
6,780950A001,경주시 용강상리,2023-01-06,3.2,10.3,-1.9,48.7,,,,0.0,436,9.1,0.0,3.7,1.3,12.5,2023
7,780950A001,경주시 용강상리,2023-01-07,3.5,7.2,-1.1,53.1,,,,0.0,273,6.4,0.0,3.2,1.7,12.5,2023
8,780950A001,경주시 용강상리,2023-01-08,3.1,11.1,-2.1,47.3,,,,0.0,466,9.8,0.0,3.9,1.9,12.6,2023
9,780950A001,경주시 용강상리,2023-01-09,3.3,12.3,-3.2,59.5,,,,0.0,226,6.1,0.0,2.8,2.1,12.7,2023
10,780950A001,경주시 용강상리,2023-01-10,3.3,12.5,-3.0,67.2,,,,0.0,448,9.9,48.0,4.4,2.5,12.7,2023
11,780950A001,경주시 용강상리,2023-01-11,4.5,13.7,-2.2,56.8,,,,0.0,481,9.7,43.0,5.2,3.0,12.7,2023
12,780950A001,경주시 용강상리,2023-01-12,6.4,18.0,-2.0,50.4,,,,0.0,478,9.8,3.0,7.1,3.2,12.7,2023
13,780950A001,경주시 용강상리,2023-01-13,12.0,15.7,7.3,91.0,,,,11.0,10,2.3,1236.0,11.3,6.0,17.9,2023
14,780950A001,경주시 용강상리,2023-01-14,8.8,11.0,6.0,89.8,,,,1.5,0,0.4,1430.0,8.4,7.4,21.8,2023
15,780950A001,경주시 용강상리,2023-01-15,4.5,6.2,0.5,88.1,,,,2.0,2,1.3,1389.0,4.4,6.7,22.3,2023
16,780950A001,경주시 용강상리,2023-01-16,0.0,4.2,-2.3,55.0,,,,0.0,489,10.8,0.0,1.8,4.9,21.1,2023
17,780950A001,경주시 용강상리,2023-01-17,-0.3,4.3,-3.7,41.3,,,,0.0,477,9.7,0.0,0.7,3.3,19.7,2023
18,780950A001,경주시 용강상리,2023-01-18,1.3,5.8,-1.9,53.7,,,,0.0,466,9.6,0.0,2.0,2.9,19.1,2023
19,780950A001,경주시 용강상리,2023-01-19,0.7,7.0,-3.9,53.8,,,,0.0,499,10.7,0.0,1.7,2.5,18.6,2023
20,780950A001,경주시 용강상리,2023-01-20,1.3,5.4,-3.6,41.0,,,,0.0,504,11.2,0.0,2.0,2.5,18.2,2023
21,780950A001,경주시 용강상리,2023-01-21,-2.2,4.0,-7.3,35.6,,,,0.0,506,11.6,0.0,-0.6,1.8,17.8,2023
22,780950A001,경주시 용강상리,2023-01-22,0.3,7.0,-5.8,47.7,,,,0.0,148,6.8,0.0,0.7,1.5,17.2,2023
23,780950A001,경주시 용강상리,2023-01-23,3.3,10.2,-2.8,48.2,,,,0.0,421,10.4,0.0,4.3,2.2,17.0,2023
24,780950A001,경주시 용강상리,2023-01-24,-7.1,2.5,-12.2,32.0,,,,0.0,513,12.2,0.0,-5.4,2.0,16.8,2023
25,780950A001,경주시 용강상리,2023-01-25,-8.7,-2.2,-14.2,27.8,,,,0.0,519,12.1,0.0,-6.4,0.7,15.9,2023
