no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,321916A001,계룡시 두마면,2022-01-01,-6.3,1.1,-12.6,74.4,211.3,0.2,5.1,0.0,478.0,8.6,0.0,,,23.2,2022
2,321916A001,계룡시 두마면,2022-01-02,-2.4,6.3,-9.2,81.8,242.5,0.1,4.3,0.0,297.0,5.9,0.0,,,22.6,2022
3,321916A001,계룡시 두마면,2022-01-03,-3.8,4.6,-10.7,82.3,220.1,0.1,5.0,0.0,478.0,9.3,0.0,,,22.1,2022
4,321916A001,계룡시 두마면,2022-01-04,-0.7,5.5,-7.1,65.5,205.5,0.3,5.7,0.0,482.0,9.9,0.0,,,22.1,2022
5,321916A001,계룡시 두마면,2022-01-05,-2.4,2.5,-8.1,68.5,227.1,0.2,3.3,0.0,99.0,4.8,0.0,,,22.0,2022
6,321916A001,계룡시 두마면,2022-01-06,-2.1,6.7,-8.3,68.4,203.7,0.1,4.3,0.0,485.0,9.8,0.0,,,22.0,2022
7,321916A001,계룡시 두마면,2022-01-07,-3.7,6.9,-10.5,72.9,208.1,0.1,3.5,0.0,487.0,10.0,0.0,,,21.6,2022
8,321916A001,계룡시 두마면,2022-01-08,-1.4,6.9,-9.9,80.1,225.0,0.2,5.2,0.0,472.0,9.5,0.0,,,20.9,2022
9,321916A001,계룡시 두마면,2022-01-09,0.7,6.7,-4.7,88.4,235.0,0.2,4.3,0.0,386.0,6.3,0.0,,,21.2,2022
10,321916A001,계룡시 두마면,2022-01-10,-0.5,8.0,-7.3,79.1,222.4,0.1,3.6,0.0,334.0,7.2,0.0,,,21.6,2022
11,321916A001,계룡시 두마면,2022-01-11,-3.3,0.2,-6.8,68.6,236.3,1.2,8.0,0.0,469.0,10.3,0.0,,,22.1,2022
12,321916A001,계룡시 두마면,2022-01-12,-5.5,1.0,-12.0,68.6,228.2,0.6,6.4,0.0,490.0,10.4,0.0,,,21.8,2022
13,321916A001,계룡시 두마면,2022-01-13,-5.0,-0.3,-9.3,69.0,225.8,0.9,9.5,0.0,380.0,8.3,0.0,,,21.0,2022
