no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
286,038315B010,,2015-10-13,11.4,22.8,2.8,67.3,171.0,0.2,5.8,0.0,500,16.0,556,,17.1,,2015
287,038315B010,,2015-10-14,12.6,26.2,3.3,69.5,144.4,0.1,4.2,0.0,497,15.6,584,,16.9,,2015
288,038315B010,,2015-10-15,13.6,26.1,5.9,75.0,162.7,0.1,2.8,0.0,445,13.2,546,,17.1,,2015
289,038315B010,,2015-10-16,14.2,25.1,8.4,77.2,104.7,0.1,4.9,0.0,340,12.8,682,,17.4,,2015
290,038315B010,,2015-10-17,14.1,25.4,7.9,74.9,102.1,0.2,4.3,0.0,359,13.5,632,,17.6,,2015
291,038315B010,,2015-10-18,13.8,28.8,5.2,71.0,161.0,0.1,3.0,0.0,449,14.5,629,,17.5,,2015
292,038315B010,,2015-10-19,14.4,26.4,5.4,73.7,168.2,0.1,2.7,0.0,485,13.5,541,,17.5,,2015
293,038315B010,,2015-10-20,15.3,25.3,8.4,76.5,72.6,0.1,4.2,0.0,381,10.8,486,,17.6,,2015
294,038315B010,,2015-10-21,15.6,26.2,10.3,80.5,163.9,0.1,2.2,0.0,363,11.0,701,,17.9,,2015
295,038315B010,,2015-10-22,15.7,23.4,10.3,76.5,104.4,0.1,3.4,0.0,266,9.8,610,,18.1,,2015
296,038315B010,,2015-10-23,15.1,24.3,9.1,76.4,181.1,0.1,2.6,0.0,442,12.2,634,,18.0,,2015
297,038315B010,,2015-10-24,14.4,23.0,9.3,80.1,170.5,0.1,3.9,0.0,222,7.7,517,,17.9,,2015
298,038315B010,,2015-10-25,14.2,22.4,7.2,63.7,92.2,0.2,4.5,0.0,496,14.6,229,,17.8,,2015
299,038315B010,,2015-10-26,11.6,21.1,4.3,72.2,182.7,0.3,4.7,0.0,439,12.7,595,,17.3,,2015
300,038315B010,,2015-10-27,11.7,18.9,6.4,81.6,195.9,0.2,7.2,0.0,93,4.9,691,,17.0,,2015
301,038315B010,,2015-10-28,9.7,18.3,3.3,62.5,182.4,0.3,6.3,0.0,496,13.8,349,,16.1,,2015
302,038315B010,,2015-10-29,8.9,18.2,2.9,73.0,183.5,0.2,6.1,0.0,493,12.7,685,,15.4,,2015
