no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,755851A002,봉화군 봉성면,2018-01-01,-3.4,3.9,-10.8,42.6,240.9,1.3,8.4,0.0,,11.1,0,-4.5,-0.4,,2018
2,755851A002,봉화군 봉성면,2018-01-02,-2.8,4.5,-10.8,54.5,229.8,1.7,9.9,0.0,,8.2,0,-3.5,-1.0,,2018
3,755851A002,봉화군 봉성면,2018-01-03,-3.8,2.4,-11.7,42.6,234.7,1.2,5.4,0.0,,11.2,0,-4.4,-1.0,,2018
4,755851A002,봉화군 봉성면,2018-01-04,-5.3,3.1,-12.9,57.0,172.9,0.3,3.3,0.0,,9.9,0,-5.1,-1.6,,2018
5,755851A002,봉화군 봉성면,2018-01-05,-2.1,5.3,-7.5,53.9,,0.0,5.5,0.0,,9.9,0,-2.6,-0.8,,2018
6,755851A002,봉화군 봉성면,2018-01-06,-4.5,4.1,-11.3,58.3,,0.0,5.8,0.0,,11.2,0,-5.2,-1.2,,2018
7,755851A002,봉화군 봉성면,2018-01-07,-4.2,3.6,-13.3,59.7,,0.0,3.1,0.0,,6.4,9,-4.5,-1.7,,2018
8,755851A002,봉화군 봉성면,2018-01-08,0.4,2.7,-2.0,75.9,,0.0,6.5,1.5,,3.1,258,0.0,-0.4,,2018
9,755851A002,봉화군 봉성면,2018-01-09,-3.0,0.2,-5.7,60.2,,0.0,9.4,0.5,,10.5,0,-3.0,-0.1,,2018
10,755851A002,봉화군 봉성면,2018-01-10,-6.7,-2.9,-12.2,58.3,,0.0,10.9,0.0,,10.6,307,-6.6,-0.6,,2018
11,755851A002,봉화군 봉성면,2018-01-11,-11.9,-5.6,-17.7,55.4,,0.0,7.1,0.0,,11.8,0,-11.6,-2.2,,2018
12,755851A002,봉화군 봉성면,2018-01-12,-12.6,-5.4,-21.2,53.6,,0.0,6.4,0.0,,12.1,0,-11.8,-3.7,,2018
13,755851A002,봉화군 봉성면,2018-01-13,-7.3,0.7,-14.9,69.2,,0.0,8.3,0.0,,6.1,44,-7.7,-3.2,,2018
14,755851A002,봉화군 봉성면,2018-01-14,-5.7,4.6,-14.1,73.8,,0.0,4.6,0.0,,10.9,82,-6.1,-2.9,,2018
15,755851A002,봉화군 봉성면,2018-01-15,1.1,10.0,-5.0,67.1,,0.0,7.6,0.0,,11.2,0,0.5,-1.2,,2018
16,755851A002,봉화군 봉성면,2018-01-16,1.3,8.5,-6.2,75.3,,0.0,5.1,0.5,,4.9,584,0.2,-0.5,,2018
17,755851A002,봉화군 봉성면,2018-01-17,2.9,5.7,0.9,97.0,,0.0,4.3,7.5,,3.4,713,2.1,-0.1,,2018
18,755851A002,봉화군 봉성면,2018-01-18,1.7,6.5,-1.7,79.7,,0.0,5.6,0.0,,5.9,132,0.6,0.1,,2018
19,755851A002,봉화군 봉성면,2018-01-19,-1.5,5.9,-6.8,69.9,,0.0,6.3,0.0,,10.4,39,-1.8,0.1,,2018
20,755851A002,봉화군 봉성면,2018-01-20,-3.0,5.0,-9.5,76.7,,0.0,5.3,0.0,,8.2,0,-3.2,0.1,,2018
21,755851A002,봉화군 봉성면,2018-01-21,-2.4,6.9,-8.5,71.5,,0.0,4.9,0.0,,10.3,71,-2.9,0.1,,2018
22,755851A002,봉화군 봉성면,2018-01-22,0.9,5.4,-3.2,72.1,,0.0,6.0,0.0,,6.2,300,0.7,0.1,,2018
23,755851A002,봉화군 봉성면,2018-01-23,-7.7,0.9,-13.7,43.0,,0.0,10.9,0.0,,13.5,0,-7.0,0.1,,2018
24,755851A002,봉화군 봉성면,2018-01-24,-12.3,-8.4,-16.0,28.2,,0.0,13.6,0.0,,13.7,0,-11.5,-1.3,,2018
25,755851A002,봉화군 봉성면,2018-01-25,-12.6,-6.0,-19.6,41.2,,0.0,7.4,0.0,,12.2,0,-11.1,-3.3,,2018
26,755851A002,봉화군 봉성면,2018-01-26,-13.3,-7.6,-19.0,38.6,,0.0,8.2,0.0,,13.7,0,-12.4,-4.4,,2018
27,755851A002,봉화군 봉성면,2018-01-27,-11.6,-0.2,-21.1,54.8,,0.0,3.5,0.0,,13.4,0,-10.6,-4.9,,2018
28,755851A002,봉화군 봉성면,2018-01-28,-4.5,1.1,-8.5,42.2,,0.0,7.3,0.0,,12.3,0,-4.1,-2.4,,2018
29,755851A002,봉화군 봉성면,2018-01-29,-8.0,-3.7,-13.2,33.7,,0.0,10.5,0.0,,13.7,0,-8.1,-3.1,,2018
30,755851A002,봉화군 봉성면,2018-01-30,-8.9,-0.1,-18.7,58.2,,0.0,8.9,0.0,,13.3,0,-8.5,-4.0,,2018
31,755851A002,봉화군 봉성면,2018-01-31,-2.3,2.4,-7.7,51.3,,0.0,6.7,0.0,,8.4,0,-2.6,-2.1,,2018
32,755851A002,봉화군 봉성면,2018-02-01,-5.4,4.2,-13.9,47.2,,0.0,4.2,0.0,,14.1,0,-6.1,-2.0,,2018
33,755851A002,봉화군 봉성면,2018-02-02,-6.4,4.7,-14.2,55.4,,0.0,5.5,0.0,,13.5,0,-7.1,-2.5,,2018
34,755851A002,봉화군 봉성면,2018-02-03,-7.8,-1.9,-13.6,53.4,,0.0,9.4,0.0,,14.0,0,-7.6,-2.5,,2018
35,755851A002,봉화군 봉성면,2018-02-04,-9.1,-4.1,-15.3,37.9,,0.0,7.3,0.0,,14.4,0,-8.5,-3.3,,2018
36,755851A002,봉화군 봉성면,2018-02-05,-11.3,-5.0,-18.6,43.6,,0.0,9.5,0.0,,14.8,0,-11.1,-4.3,,2018
37,755851A002,봉화군 봉성면,2018-02-06,-11.8,-5.2,-19.2,46.4,,0.0,7.8,0.0,,10.6,0,-11.8,-4.8,,2018
38,755851A002,봉화군 봉성면,2018-02-07,-11.9,-1.1,-21.6,51.5,,0.0,6.3,0.0,,14.8,0,-11.6,-5.0,,2018
39,755851A002,봉화군 봉성면,2018-02-08,-8.7,2.8,-18.2,49.3,,0.0,5.2,0.0,,13.7,0,-9.2,-4.3,,2018
40,755851A002,봉화군 봉성면,2018-02-09,-2.7,8.2,-13.5,55.0,209.7,0.3,6.6,0.0,,11.7,0,-3.2,-2.8,,2018
41,755851A002,봉화군 봉성면,2018-02-10,-0.7,6.3,-7.1,53.8,240.9,1.9,10.1,0.0,,8.9,0,-1.1,-1.1,,2018
42,755851A002,봉화군 봉성면,2018-02-11,-6.2,-2.3,-11.7,43.2,253.9,2.2,10.6,0.0,,13.4,0,-5.7,-1.4,,2018
43,755851A002,봉화군 봉성면,2018-02-12,-5.8,-2.0,-10.0,43.1,247.9,2.7,10.1,0.0,,14.7,0,-5.1,-2.0,,2018
44,755851A002,봉화군 봉성면,2018-02-13,-3.6,3.5,-11.9,51.7,232.4,1.6,8.7,0.0,,15.5,0,-3.8,-1.9,,2018
45,755851A002,봉화군 봉성면,2018-02-14,-0.7,10.6,-11.9,64.7,249.1,1.0,7.1,0.0,,10.6,0,-1.6,-1.6,,2018
46,755851A002,봉화군 봉성면,2018-02-15,0.4,8.5,-8.7,41.5,219.6,1.1,5.6,0.0,,15.1,0,-0.4,-0.4,,2018
47,755851A002,봉화군 봉성면,2018-02-16,-2.0,7.4,-10.7,39.1,233.4,1.3,6.7,0.0,,14.4,0,-2.3,-0.6,,2018
48,755851A002,봉화군 봉성면,2018-02-17,-2.2,3.9,-8.2,30.5,247.8,1.8,7.3,0.0,,16.7,0,-2.9,-0.6,,2018
49,755851A002,봉화군 봉성면,2018-02-18,-2.4,5.4,-8.4,35.4,211.7,0.7,4.5,0.0,,10.4,0,-2.9,-0.6,,2018
50,755851A002,봉화군 봉성면,2018-02-19,0.3,9.9,-6.9,41.6,242.6,0.9,8.2,0.0,,13.0,0,-0.1,-0.4,,2018
51,755851A002,봉화군 봉성면,2018-02-20,-0.1,8.4,-9.1,45.2,233.8,1.1,8.4,0.0,,13.7,0,-0.6,-0.3,,2018
52,755851A002,봉화군 봉성면,2018-02-21,-2.5,5.2,-10.5,36.0,241.7,1.0,11.9,0.0,,13.8,0,-3.2,-0.1,,2018
53,755851A002,봉화군 봉성면,2018-02-22,-4.0,6.2,-13.0,49.8,221.3,1.0,6.3,0.0,,14.1,0,-4.1,-0.4,,2018
54,755851A002,봉화군 봉성면,2018-02-23,1.0,7.4,-9.1,72.6,217.3,1.4,8.5,1.0,,8.7,244,0.4,-0.2,,2018
55,755851A002,봉화군 봉성면,2018-02-24,5.6,11.2,1.1,53.7,239.3,1.7,9.0,0.0,,13.7,0,5.5,0.0,,2018
56,755851A002,봉화군 봉성면,2018-02-25,2.9,10.3,-5.7,59.5,235.9,0.9,6.0,0.0,,11.1,0,2.1,0.1,,2018
57,755851A002,봉화군 봉성면,2018-02-26,-0.3,11.2,-9.5,51.9,226.9,0.7,4.4,0.0,,17.2,0,-1.1,0.2,,2018
58,755851A002,봉화군 봉성면,2018-02-27,1.8,13.0,-7.8,59.2,257.6,0.7,6.6,0.0,,13.2,41,0.6,0.3,,2018
59,755851A002,봉화군 봉성면,2018-02-28,4.9,6.8,0.9,78.7,48.0,1.4,9.2,13.0,,1.6,729,3.1,0.6,,2018
60,755851A002,봉화군 봉성면,2018-03-01,2.4,5.6,-2.9,59.8,247.9,3.1,12.8,0.5,,17.2,318,2.2,1.3,,2018
61,755851A002,봉화군 봉성면,2018-03-02,-1.6,8.0,-9.8,54.3,223.5,1.2,9.2,0.0,,18.8,0,-1.2,0.6,,2018
62,755851A002,봉화군 봉성면,2018-03-03,3.0,15.7,-6.5,58.9,213.8,0.8,5.3,0.0,,18.3,0,2.1,1.2,,2018
63,755851A002,봉화군 봉성면,2018-03-04,9.6,19.8,-1.7,71.1,88.2,1.2,8.4,13.0,,12.6,167,8.9,3.0,,2018
64,755851A002,봉화군 봉성면,2018-03-05,4.0,8.6,1.2,76.8,124.4,1.3,7.1,12.5,,7.7,663,3.9,4.0,,2018
65,755851A002,봉화군 봉성면,2018-03-06,2.4,11.0,-4.7,69.8,115.3,0.9,6.8,0.0,,19.4,35,2.8,2.6,,2018
66,755851A002,봉화군 봉성면,2018-03-07,3.0,6.2,0.5,75.6,73.2,0.8,5.3,0.5,,3.3,218,2.4,2.2,,2018
67,755851A002,봉화군 봉성면,2018-03-08,1.4,4.6,-0.8,96.3,148.8,0.2,2.1,15.0,,4.5,838,0.7,1.1,,2018
68,755851A002,봉화군 봉성면,2018-03-09,1.8,6.6,-2.6,80.1,192.5,0.7,8.2,3.0,,11.0,152,0.7,0.8,,2018
69,755851A002,봉화군 봉성면,2018-03-10,3.3,11.6,-2.9,70.6,227.9,1.1,6.8,0.0,,19.4,31,2.9,2.5,,2018
70,755851A002,봉화군 봉성면,2018-03-11,4.2,12.6,-3.4,64.7,226.7,1.3,8.0,0.0,,19.2,36,3.5,3.2,,2018
